More epochs 
Initialized training,2025-08-07 18:29:14
Train step (local),Mean eval loss,Next token loss,KL loss,Valid count
0,0.7214950954259516,0.9894899953797491,0.45350010662117496,703425
300,0.6654124018196681,0.9440551586878487,0.38676964495148736,703425
600,0.6574703681984575,0.9331826420727156,0.38175809432419944,703425
900,0.6513935387567971,0.9267000746348225,0.3760870473042613,703425
1200,0.6478210185876249,0.9220712940256601,0.3735708320005686,703425
1500,0.6441909674094608,0.9185798059494615,0.36980210665671537,703425
1800,0.6418100277215055,0.9157820663183708,0.36783798912464016,703425
2100,0.6398965774602836,0.9139965170416178,0.36579663787894945,703425
2400,0.6376716156662047,0.9110168106052529,0.36432650957813556,703425
2700,0.6360369797775172,0.9087763443153144,0.36329763745246474,703425
3000,0.6343443686249423,0.9061833173401571,0.3625054865479618,703425
3300,0.6343489888758574,0.9069225574865835,0.3617754646906209,703425
3600,0.6337651046664534,0.9061719444148274,0.36135830934356894,703425
3900,0.6323642801293671,0.9053644667164232,0.3593641601805452,703425
4200,0.6313520453495397,0.9036016632903294,0.35910238298326047,703425
4500,0.6310000177701959,0.9035106798876924,0.3584893778654441,703425
4800,0.6298633027685965,0.9013725699257206,0.3583540578242172,703425
5100,0.6294662721683193,0.9017933681629171,0.357139220599211,703425
5400,0.6285151224366492,0.9002352773927569,0.35679505633152075,703425
5700,0.6273805398585492,0.8993140704410563,0.3554470092760422,703425
6000,0.6260754522514839,0.898006184028148,0.3541446538365853,703425
6300,0.6285615026477592,0.9008835341365462,0.35623956000995133,703425
6600,0.6277297686320503,0.8993368162917156,0.35612267654689556,703425
6900,0.6280722891566265,0.8999623271848456,0.35618225112840746,703425
7200,0.6268298859153428,0.898665813697267,0.3549940025589082,703425
7500,0.6267609375555319,0.8986885595479263,0.35483338220137184,703425
7800,0.62630770871095,0.897255570956392,0.3553597576145289,703425
8100,0.6256349290969186,0.8963229910793616,0.3549468671144756,703425
8400,0.6252261701673952,0.8963684827806803,0.3540839019795998,703425
8700,0.6244998134129438,0.895561005082276,0.3534386439563564,703425
9000,0.6244230905924584,0.8957998365141984,0.35304632245797346,703425
9300,0.6273476205707786,0.8988591534278708,0.3558361099264314,703425
9600,0.6271631659380886,0.8987113053985855,0.3556150931158261,703425
9900,0.6272242065607563,0.8983473717880371,0.35610108575896504,703425
10200,0.6266415218395707,0.8978014713722146,0.3554815278814373,703425
10500,0.6262613729253297,0.8979265735508405,0.35459621672530833,703425
10800,0.6256282652734834,0.8965959412872729,0.3546606336851832,703425
11100,0.6254044052315456,0.8964480932579877,0.3543606505668693,703425
11400,0.6246562355617159,0.8952880548743647,0.3540243718235775,703425
11700,0.6247318921704517,0.896095532572769,0.35336816291715534,703425
12000,0.624190745282013,0.8948445107865088,0.35353684650104844,703425
12300,0.6272928883676299,0.8983928634893557,0.35619291324590396,703425
12600,0.6269738689270355,0.8985407115186409,0.35540700412268544,703425
12900,0.6265719515229058,0.8973010626577105,0.3558428403881011,703425
13200,0.6267456551871201,0.8976763691935885,0.3558150744571205,703425
13500,0.6263044212247219,0.8969143831965029,0.35569452589117534,703425
13800,0.6262543092724882,0.8969598748978214,0.35554869922166543,703425
14100,0.6261898478871237,0.8971190958524363,0.3552605777090663,703425
14400,0.6259940647545936,0.8967779080925472,0.35521033248036393,703425
14700,0.6260404005402139,0.8971645875537548,0.35491619131392826,703425
15000,0.6255133365319686,0.8967324163912286,0.35429427888545334,703425
15300,0.6276238582649181,0.8987681700252337,0.3564795242918577,703425
15600,0.6275786775420266,0.8983473717880371,0.3568100277215055,703425
15900,0.627800494011444,0.8988932722038597,0.3567077602445179,703425
16200,0.627679212424921,0.8990183743824857,0.3563400504673562,703425
16500,0.6273169669829761,0.898415609340015,0.3562183912641717,703425
16800,0.6272138109961972,0.8982563883854,0.35617125581973913,703425
17100,0.6270141628460746,0.8980630486547961,0.355965277037353,703425
17400,0.626912206347514,0.8977559796708959,0.3560684774496215,703425
17700,0.6269267779080926,0.8976649962682589,0.35618849290969185,703425
18000,0.6266122898674343,0.897346554359029,0.35587798095035006,703425
18300,0.6277919643174468,0.8987681700252337,0.35681569197142554,703425
18600,0.6280005864164623,0.8990070014571561,0.356994126950279,703425
18900,0.6277146639655969,0.8985748302946298,0.35685447542381915,703425
19200,0.6281302644205139,0.8991548494864413,0.35710572378007605,703425
19500,0.6278898780964566,0.89888189927853,0.3568978569143832,703425
19800,0.6278445640970963,0.8986430678466076,0.3570461269858194,703425
20100,0.6277558019689377,0.8985520844439706,0.3569595417066496,703425
20400,0.6277332782457262,0.8987795429505633,0.35668696911539965,703425
20700,0.6276693499662366,0.8985520844439706,0.35678670433948184,703425
21000,0.6277466503180865,0.8987340512492448,0.35675920496143865,703425
